Player,Maps,Rounds,K-D Diff,K/D,Rating1.0,deaths,kills,abates_por_rounds,mortes_por_rounds,classificacao,dano_por_round,rounds_vivo_vitoria,clutchs_ganhos,grau_consistencia
niko,1232,32547,213,1.01,0.99,21299.99999999998,21512.99999999998,0.6609825790395423,0.6544381970688538,0.99,74.25,54.06568811725299,3.0,5.4999999999999964
reatz,819,22100,-15,1.0,0.99,15469.999999999998,15469.999999999998,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
MINISE,821,22154,-50,1.0,0.99,15507.8,15507.8,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
Aerial,703,18813,-17,1.0,0.99,13169.099999999999,13169.099999999999,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
SHOCK,693,17870,29,1.0,0.99,12509.0,12509.0,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
GeT_RiGhT,897,23687,-28,1.0,0.99,16580.899999999998,16580.899999999998,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
SZPERO,1123,29867,119,1.01,0.99,11899.999999999989,12018.999999999989,0.40241738373455616,0.39843305320253086,0.99,74.25,84.83161973866291,3.0,3.572391250720139
chelo,754,19394,-269,0.98,0.99,13449.999999999987,13180.999999999987,0.6796431886150349,0.6935134577704438,0.99,74.25,49.369740291057646,3.0,5.4999999999999964
Kylar,690,18081,49,1.0,0.99,12656.699999999999,12656.699999999999,0.7,0.7,0.99,74.25,48.590207068873184,3.0,5.500000000000006
PlesseN,743,20061,-467,0.97,0.99,15566.666666666653,15099.666666666653,0.7526876360434003,0.7759666350962889,0.99,74.25,39.46076433352946,3.0,6.3044019520192105
magixx,832,21529,291,1.02,0.98,14549.999999999987,14840.999999999987,0.6893492498490402,0.6758325978912159,0.98,73.5,51.10106331379518,3.0,5.499999999999996
innocent,974,25599,-185,0.99,0.98,18499.99999999998,18314.99999999998,0.715457635063869,0.722684479862494,0.98,73.5,45.52741835744371,3.0,5.827312390494406
Goofy,724,19195,-146,0.99,0.98,14599.999999999987,14453.999999999987,0.753008595988538,0.7606147434227657,0.98,73.5,41.01511675309423,3.0,6.0871043657017925
Lucky,1207,31544,179,1.01,0.98,17899.999999999985,18078.999999999985,0.5731359371037277,0.5674613238650769,0.98,73.5,63.99324564404735,3.0,5.5
es3tag,1176,30878,-74,1.0,0.98,21614.6,21614.6,0.7,0.7,0.98,73.5,48.226034324472636,3.0,5.500000000000006
byali,856,22529,-113,0.99,0.98,11299.999999999989,11186.999999999989,0.4965599893470633,0.5015757468152154,0.98,73.5,71.83119790486342,3.0,5.386663992197242
TENZKI,785,20894,26,1.0,0.98,14625.8,14625.8,0.7,0.7,0.98,73.5,48.226034324472636,3.0,5.500000000000006
alex,961,25456,-58,1.0,0.98,17819.199999999997,17819.199999999997,0.6999999999999998,0.6999999999999998,0.98,73.5,48.22603432447265,3.0,5.500000000000004
Plopski,844,22358,-44,1.0,0.98,15650.599999999999,15650.599999999999,0.7,0.7,0.98,73.5,48.226034324472636,3.0,5.500000000000006
FugLy,761,20092,-90,0.99,0.98,8999.999999999993,8909.999999999993,0.4434600836153689,0.44793947839936255,0.98,73.5,78.21193448054244,3.0,4.5718200666437445
Zero,785,20911,89,1.01,0.98,8899.999999999993,8988.999999999993,0.429869446702692,0.4256133135670218,0.98,73.5,80.86792418206036,3.0,4.277287611269206
ALEX,904,24056,-674,0.96,0.98,16849.999999999985,16175.999999999985,0.6724309943465242,0.7004489524442961,0.98,73.5,48.17262555151606,3.0,5.499999999999999
Perfecto,794,20698,331,1.03,0.97,11033.333333333323,11364.333333333323,0.5490546590652876,0.5330627757915414,0.97,72.75,67.5185840701137,3.0,5.5
almazer,872,23718,-190,0.99,0.97,18999.99999999998,18809.99999999998,0.7930685555274467,0.801079349017623,0.97,72.75,35.95985037475579,3.0,6.532632304140307
Krad,1103,29108,-587,0.97,0.97,19566.66666666665,18979.66666666665,0.652042966423892,0.6722092437359712,0.97,72.75,51.13420054617502,3.0,5.499999999999997
F1KU,752,19756,-461,0.97,0.97,15366.666666666653,14905.666666666653,0.7544880880070183,0.777822771141256,0.97,72.75,38.6982935203836,3.0,5.910392106926047
MODDII,838,22015,-192,0.99,0.97,19199.99999999998,19007.99999999998,0.8634113104701332,0.8721326368385184,0.97,72.75,27.593383474860936,3.0,4.160099930756219
hampus,1220,32175,-917,0.96,0.97,22924.999999999978,22007.999999999978,0.6840093240093233,0.7125097125097118,0.97,72.75,46.388853097994144,3.0,5.4999999999999964
Djoko,719,18385,-600,0.95,0.97,11999.999999999989,11399.999999999989,0.6200707098177857,0.6527060103345113,0.97,72.75,53.43069043001474,3.0,5.499999999999997
STYKO,1614,42389,-610,0.98,0.97,30499.999999999975,29889.999999999975,0.7051357663544782,0.7195262921984471,0.97,72.75,45.56265654162572,3.0,5.612999477260587
b0RUP,1063,28725,-659,0.97,0.97,21966.666666666646,21307.666666666646,0.7417812590658537,0.7647229474905708,0.97,72.75,40.24078710976099,3.0,5.698518929640739
AZR,964,25481,-627,0.96,0.97,15674.999999999985,15047.999999999985,0.5905576704210975,0.6151642400219766,0.97,72.75,57.851203376227886,3.0,5.499999999999997
JUST,687,17719,-326,0.97,0.97,10866.666666666657,10540.666666666657,0.594879319750926,0.6132776492277587,0.97,72.75,58.07334790912067,3.0,5.4999999999999964
NBK-,1356,36078,-1044,0.96,0.96,26099.999999999978,25055.999999999978,0.6944952602694157,0.7234325627806414,0.96,72.0,44.76696861289902,3.0,5.274337326280259
chrisJ,1154,30522,-593,0.97,0.96,19766.66666666665,19173.66666666665,0.628191686870672,0.6476202957429608,0.96,72.0,53.60177224372747,3.0,5.4999999999999964
RpK,1171,30722,-819,0.96,0.96,20474.99999999998,19655.99999999998,0.6398020962176936,0.6664605168934308,0.96,72.0,51.40622183045393,3.0,5.499999999999998
freddieb,853,22821,-552,0.97,0.96,18399.999999999985,17847.999999999985,0.782086674554138,0.8062749222207609,0.96,72.0,35.112911208123194,3.0,6.043046801195887
pashaBiceps,750,19662,-521,0.96,0.96,13024.999999999989,12503.999999999989,0.6359475129691786,0.6624453260095611,0.96,72.0,51.8741332171646,3.0,5.4999999999999964
nitr0,1325,34994,-573,0.98,0.96,28649.999999999975,28076.999999999975,0.8023375435788985,0.8187117791621413,0.96,72.0,33.663578624424176,3.0,5.613627085741315
